step,x,theta,force
0,0.0,0.2,-0.0021362956633198035
1,-6.898746706488595e-05,0.20126959413121528,0.20966216010010072
2,0.001111653577001867,0.2018702852197891,0.27771843623157444
3,0.0039652164030958975,0.20118774026941944,0.2529984435560167
4,0.008337623432192184,0.1994521447742767,0.19501327555162207
5,0.013868120732277358,0.19718947157343633,0.14709921567430648
6,0.02025893791505746,0.19482692027353668,0.12329477828302865
7,0.02736251883885802,0.19256791684120916,0.12146366771446883
8,0.035168128184162664,0.19041414187577196,0.12939848017822808
9,0.04372581339118426,0.18827841939750983,0.13672292245246742
10,0.05308180111113973,0.18607976754420666,0.14069032868434705
11,0.06326141510300437,0.1837680570096225,0.1403851435895871
12,0.07426339254800995,0.1813319415942692,0.13672292245246742
13,0.08606559486967025,0.17879018458422294,0.1327555162205878
14,0.09864401540942812,0.17616358837400878,0.13214514603106786
15,0.11199558646207235,0.1734414472669399,0.13183996093630787
16,0.12611916666603906,0.1706097072392752,0.1315347758415479
17,0.14101364334088923,0.1676537017820431,0.13000885036774804
18,0.15667033073591763,0.16456930498299197,0.12756736960966827
19,0.17307487379740724,0.1613600453332349,0.12482070375682852
20,0.19021105122574083,0.15803146731931558,0.12237922299874875
21,0.2080645776781001,0.1545855287565668,0.119632557145909
22,0.22661929867272362,0.15102626688395,0.11993774224066897
23,0.24587811352226777,0.14732880528351638,0.12024292733542893
24,0.26584395680500955,0.14346753542875695,0.1184118167668691
25,0.28650648823834385,0.139435717312294,0.11658070619830928
26,0.30785541436205044,0.1352255831723162,0.11352885525070955
27,0.3298728793303171,0.13083960130518144,0.11047700430310983
28,0.35254107646014887,0.12627913741943875,0.10711996826075015
29,0.37584034439715736,0.12154730193445216,0.1031525620288705
30,0.3997472627963742,0.11665179796590207,0.09918515579699089
31,0.42423845701646007,0.11159928589678042,0.09552293465987122
32,0.449292499530863,0.10639259717517177,0.09186071352275156
33,0.47488800493441585,0.10103360911446628,0.08789330729087191
34,0.5010017252522815,0.095526102865878,0.08331553086947234
35,0.5276066447564121,0.08987862261778183,0.07904293954283273
36,0.5546776904087998,0.08409598046582659,0.07477034821619312
37,0.582189825754957,0.07818214942670286,0.07019257179479355
38,0.6101161451484179,0.0721431396239297,0.065309610278634
39,0.6384278721939561,0.06598702713662918,0.061037018951994385
40,0.6671000719741165,0.05971544582109332,0.056459242530594804
41,0.6961059352444128,0.05333218072604636,0.05157628101443525
42,0.7254167776450722,0.0468431805208917,0.04608294930875576
43,0.7550001332949223,0.04025943622446066,0.04089480269783624
44,0.7848254681487238,0.03358845845856875,0.031128879665517136
45,0.8148336933418285,0.026880029020098388,0.02075258644367809
46,0.8449619286158738,0.020189148997540488,0.013428144169438765
47,0.8751663537540003,0.013542061001786308,0.007324442274239326
